STATE/UT,Persons Arrested,Persons Chargesheeted,Persons Convicted,Persons Acquitted
A & N ISLANDS,73,73,5,68
ANDHRA PRADESH,39288,39191,3527,35761
ARUNACHAL PRADESH,202,130,24,178
ASSAM,12346,7694,637,11709
BIHAR,20147,19282,1317,18830
CHANDIGARH,268,265,38,230
CHHATTISGARH,6594,6566,1605,4989
D & N HAVELI,30,38,4,26
DAMAN & DIU,45,54,1,44
DELHI,3981,3397,1771,2210
GOA,286,127,7,279
GUJARAT,23965,23525,434,23531
HARYANA,7264,7429,1266,5998
HIMACHAL PRADESH,1325,1317,107,1218
JAMMU & KASHMIR,5204,5203,338,4866
JHARKHAND,6549,5720,1152,5397
KARNATAKA,16680,15849,859,15821
KERALA,13517,13187,862,12655
LAKSHADWEEP,1,0,0,1
MADHYA PRADESH,29247,29234,5529,23718
MAHARASHTRA,41048,39535,1047,40001
MANIPUR,202,28,0,202
MEGHALAYA,271,160,9,262
MIZORAM,215,185,118,97
NAGALAND,75,69,58,17
ODISHA,17183,17142,974,16209
PUDUCHERRY,110,103,26,84
PUNJAB,5048,3439,904,4144
RAJASTHAN,17095,17087,4582,12513
SIKKIM,69,47,35,34
TAMIL NADU,10913,9393,2046,8867
TRIPURA,1946,2088,349,1597
UTTAR PRADESH,77745,43775,12971,64774
UTTARAKHAND,1420,1343,813,607
WEST BENGAL,34023,33694,915,33108
